# Historical Returns Dataset for FIRE Planner (Synthetic Data)
# Generated: 2026-02-17
# Purpose: Realistic synthetic approximation of historical asset class returns for Monte Carlo simulation
# License: Synthetic data for educational/planning purposes only - not actual market data
#
# Sources (patterns approximated):
# - US Equities: Based on S&P 500 patterns (Damodaran NYU Stern methodology)
# - SG Equities (STI): Based on SGX Straits Times Index patterns (1987-2024)
# - Intl Equities: Based on MSCI World ex-US patterns (1970-2024)
# - US Bonds: Based on 10-year Treasury patterns (FRED methodology)
# - REITs: Based on FTSE NAREIT patterns (1972-2024)
# - Gold: Based on LBMA gold price patterns (1968-2024)
# - Cash: Based on 3-month T-Bill rates (FRED)
# - CPF: Singapore CPF blended OA+SA rate (constant 3%)
# - US_CPI: US inflation (FRED patterns)
# - SG_CPI: Singapore inflation (SingStat patterns, 1961-2024)
# - USD_SGD_Change: USD/SGD exchange rate annual change (MAS patterns, 1981-2024)
#
# All return values are decimal fractions (0.10 = 10%)
# Blank cells indicate data not available for that period
#
Year,US_Equities,SG_Equities,Intl_Equities,Bonds,REITs,Gold,Cash,CPF,US_CPI,SG_CPI,USD_SGD_Change
1975,0.3723,0.0456,0.3512,0.0300,0.1975,0.2415,0.0580,0.03,0.0694,0.0285,
1976,0.2384,0.0623,0.0245,0.1100,0.4678,-0.0425,0.0508,0.03,0.0486,0.0245,
1977,-0.0718,-0.0234,-0.0256,0.0100,0.2245,0.2245,0.0514,0.03,0.0677,0.0315,
1978,0.0656,0.0834,0.1223,0.0000,0.0923,0.3715,0.0718,0.03,0.0903,0.0485,
1979,0.1844,0.1245,0.0534,-0.0400,0.3578,0.1285,0.1038,0.03,0.1331,0.0385,
1980,0.3242,0.2156,0.2378,-0.0300,0.2478,0.1245,0.1124,0.03,0.1240,0.0855,
1981,-0.0491,-0.0345,0.0245,0.0200,0.0656,0.0945,0.1471,0.03,0.0894,0.0405,0.0000
1982,0.2155,0.0823,0.0856,0.3200,0.2123,0.0845,0.1054,0.03,0.0387,0.0385,0.0245
1983,0.2256,0.1456,0.2234,0.0200,0.3045,0.0456,0.0880,0.03,0.0380,0.0125,0.0185
1984,0.0627,0.0245,-0.0523,0.1300,0.2078,-0.0234,0.0985,0.03,0.0395,0.0275,-0.0125
1985,0.3216,0.0534,0.5623,0.2500,0.1923,0.0123,0.0772,0.03,0.0328,0.0065,-0.0245
1986,0.1847,0.0923,0.6923,0.1500,0.1934,0.2134,0.0616,0.03,0.0113,0.0135,0.0856
1987,0.0523,0.0123,0.1645,0.0000,0.0045,-0.2145,0.0547,0.03,0.0444,0.0055,-0.0534
1988,0.1661,0.1834,0.2334,0.0600,0.1378,0.0623,0.0635,0.03,0.0442,0.0175,-0.0185
1989,0.3169,0.3823,0.1078,0.1400,0.0923,0.0323,0.0837,0.03,0.0465,0.0235,-0.0075
1990,-0.0310,-0.0823,-0.1678,0.0700,0.1534,-0.0445,0.0781,0.03,0.0611,0.0355,0.0365
1991,0.3047,0.1456,0.1923,0.1500,0.3534,0.0534,0.0556,0.03,0.0306,0.0345,-0.0285
1992,0.0762,0.0623,0.0456,0.0600,0.1645,0.0245,0.0351,0.03,0.0290,0.0285,-0.0145
1993,0.1008,0.4923,0.2234,0.1100,0.1923,0.1823,0.0290,0.03,0.0275,0.0235,-0.0385
1994,0.0132,-0.1234,-0.0534,-0.0800,0.0356,-0.0234,0.0390,0.03,0.0267,0.0345,0.0456
1995,0.3758,0.0234,0.1156,0.1800,0.1823,0.0345,0.0560,0.03,0.0254,0.0185,-0.0234
1996,0.2296,0.0456,0.0623,0.0000,0.3534,0.0123,0.0521,0.03,0.0332,0.0145,-0.0123
1997,0.3336,-0.3534,0.1545,-0.0100,0.1834,0.0323,0.0519,0.03,0.0170,0.0235,0.1856
1998,0.2858,-0.0823,0.2234,0.1200,0.0456,0.0145,0.0486,0.03,0.0155,0.0005,0.0623
1999,0.2104,0.3756,0.2678,0.0000,0.0245,0.0056,0.0448,0.03,0.0268,0.0000,-0.0185
2000,-0.0910,-0.2145,-0.1234,0.1600,-0.0534,-0.0345,0.0598,0.03,0.0341,0.0135,0.0956
2001,-0.1189,-0.1823,-0.1645,0.0400,-0.1534,0.0245,0.0333,0.03,0.0155,0.0105,0.0534
2002,-0.2210,-0.0623,-0.1956,0.1400,-0.0823,0.2456,0.0165,0.03,0.0238,0.0045,-0.0623
2003,0.2869,0.2834,0.3334,0.0000,0.3723,0.1934,0.0094,0.03,0.0188,0.0055,-0.0745
2004,0.1088,0.1523,0.2023,0.0300,0.3145,0.0523,0.0114,0.03,0.0326,0.0175,-0.0423
2005,0.0491,0.0645,0.1356,0.0200,0.1234,0.1823,0.0298,0.03,0.0346,0.0055,0.0334
2006,0.1579,0.2734,0.2656,0.0100,0.3423,0.2245,0.0480,0.03,0.0254,0.0105,-0.0285
2007,0.0549,0.2045,0.1123,0.0800,0.1534,-0.0834,0.0463,0.03,0.0407,0.0235,0.0556
2008,-0.3700,-0.4956,-0.4023,0.2000,-0.3834,0.0534,0.0142,0.03,0.0009,0.0645,0.1334
2009,0.2646,0.7534,0.2978,0.0000,0.2756,0.2345,0.0010,0.03,0.0272,0.0065,-0.0956
2010,0.1506,0.1023,0.0823,0.0600,0.2678,0.2923,0.0012,0.03,0.0164,0.0285,-0.0545
2011,0.0211,0.1534,0.0545,0.1600,0.0823,0.1023,0.0003,0.03,0.0300,0.0545,0.0734
2012,0.1600,0.2334,0.1656,0.0200,0.1934,0.0734,0.0005,0.03,0.0177,0.0455,-0.0623
2013,0.3239,0.0245,0.2256,0.0000,0.0234,-0.2834,0.0002,0.03,0.0150,0.0245,-0.0456
2014,0.1369,0.0534,0.0456,0.1000,0.2823,0.0123,0.0002,0.03,0.0076,0.0105,0.0523
2015,0.0138,-0.1456,0.0234,0.0100,0.0256,-0.1045,0.0002,0.03,0.0007,0.0055,-0.0285
2016,0.1196,0.0023,0.0734,0.0000,0.0845,0.0823,0.0020,0.03,0.0213,0.0055,0.0634
2017,0.2183,0.1834,0.2534,0.0200,0.0456,0.1334,0.0069,0.03,0.0221,0.0065,-0.0745
2018,-0.0438,-0.0834,-0.0823,0.0000,0.0123,0.0145,0.0181,0.03,0.0190,0.0065,0.0956
2019,0.3157,0.0745,0.2756,0.0800,0.2534,0.1823,0.0215,0.03,0.0181,0.0065,-0.0234
2020,0.1840,0.0456,0.1534,0.0800,0.0823,0.2523,0.0038,0.03,0.0123,0.0015,-0.0634
2021,0.2889,0.0923,0.2134,0.0000,0.4123,0.0134,0.0004,0.03,0.0703,0.0245,-0.0345
2022,-0.1811,-0.1234,-0.1756,0.1200,-0.2534,0.0034,0.0142,0.03,0.0650,0.0615,0.0734
2023,0.2638,0.0534,0.1856,0.0000,0.1134,0.1345,0.0463,0.03,0.0326,0.0475,-0.0423
2024,0.2512,0.0834,0.1745,0.0100,0.1023,0.2756,0.0476,0.03,0.0279,0.0255,0.0185
